time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1720044988240110351,387,5493920000000,map,2.3939146853,9.55228657141,0.0,0.0,0.0,-0.277301421953,0.960782973092,0.872929841547,-0.336343565764,0.0,0.0,0.0,0.0,-0.336343565764,0.211271317642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0158996462261
1720044988667959655,388,5494380000000,map,2.61462696555,9.41926880306,0.0,0.0,0.0,-0.282333518928,0.95931631076,0.725325790375,-0.298741490932,0.0,0.0,0.0,0.0,-0.298741490932,0.194560326331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147734779607
1720044988966895740,389,5494660000000,map,2.8392733342,9.27772191533,0.0,0.0,0.0,-0.305883200777,0.952069045544,0.669366683626,-0.289394044999,0.0,0.0,0.0,0.0,-0.289394044999,0.201089295298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0137839191676
1720044989231891196,390,5494940000000,map,3.06038501393,9.10601247907,0.0,0.0,0.0,-0.310148714449,0.950688053425,0.662974851433,-0.306659983968,0.0,0.0,0.0,0.0,-0.306659983968,0.236022036002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0140114329184
1720044989519957872,391,5495220000000,map,3.27654269059,8.9136918608,0.0,0.0,0.0,-0.31552077279,0.948918669823,0.665554929089,-0.322106287224,0.0,0.0,0.0,0.0,-0.322106287224,0.244755724668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0160694875323
1720044989790050788,392,5495500000000,map,3.47610894238,8.71243123026,0.0,0.0,0.0,-0.32280531733,0.946465386109,0.761630894171,-0.410428112137,0.0,0.0,0.0,0.0,-0.410428112137,0.304935669625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0195917607605
1720044990079955992,393,5495780000000,map,3.67696250939,8.45948080589,0.0,0.0,0.0,-0.330050414762,0.943963306339,1.06252637494,-0.631847628113,0.0,0.0,0.0,0.0,-0.631847628113,0.444738278148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0265328123633
1720044990343866299,394,5496020000000,map,3.85564833116,8.26688870505,0.0,0.0,0.0,-0.232786015253,0.972527979599,0.880441640363,-0.567855488713,0.0,0.0,0.0,0.0,-0.567855488713,0.424600792792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024147693013
1720044990600244474,395,5496260000000,map,3.92864254534,8.20218767789,0.0,0.0,0.0,-0.136527335794,0.990636303888,0.860269048573,-0.575967939055,0.0,0.0,0.0,0.0,-0.575967939055,0.433214263949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0225962298157
1720044991147795542,396,5496860000000,map,4.15968671178,8.09931803222,0.0,0.0,0.0,-0.136135085219,0.990690283879,0.804860007532,-0.572339474988,0.0,0.0,0.0,0.0,-0.572339474988,0.451645249379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021868628177
1720044991487894709,397,5497180000000,map,4.40555885037,7.98278473426,0.0,0.0,0.0,-0.169883989986,0.985464068318,0.815751164443,-0.624376777411,0.0,0.0,0.0,0.0,-0.624376777411,0.51745650082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0221094397001
1720044991799877324,398,5497480000000,map,4.63506505401,7.86221961492,0.0,0.0,0.0,-0.180445289509,0.983585023012,0.92657159725,-0.75232466769,0.0,0.0,0.0,0.0,-0.75232466769,0.640662333834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0243052534197
1720044993351936919,399,5499020000000,map,4.78855208724,7.79532494998,0.0,0.0,0.0,-0.080672514997,0.996740661017,0.697153776592,-0.585381989155,0.0,0.0,0.0,0.0,-0.585381989155,0.518464007371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0202196017088
1720044993904051207,400,5499580000000,map,4.99111883635,7.79101609093,0.0,0.0,0.0,0.019539919293,0.999809077551,0.714329882467,-0.615472596816,0.0,0.0,0.0,0.0,-0.615472596816,0.555648026986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0203095950446
1720044994456138931,401,5500160000000,map,5.26980877029,7.83209766777,0.0,0.0,0.0,0.100806802138,0.994906020005,0.484287286438,-0.428800179446,0.0,0.0,0.0,0.0,-0.428800179446,0.40348889594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0158211178581
1720044994799966214,402,5500460000000,map,5.55108963512,7.89054322457,0.0,0.0,0.0,0.0914891685455,0.995806071501,0.362002973023,-0.327764869398,0.0,0.0,0.0,0.0,-0.327764869398,0.321938026091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0127079170784
1720044995063748705,403,5500740000000,map,5.80664190854,7.91774986564,0.0,0.0,0.0,-0.0188714380848,0.999821918556,0.398293778514,-0.370323553072,0.0,0.0,0.0,0.0,-0.370323553072,0.372427569277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133661236861
1720044996350278514,404,5502060000000,map,6.07958783393,7.89728958894,0.0,0.0,0.0,-0.0496241231684,0.998767964244,0.404072620987,-0.385913021613,0.0,0.0,0.0,0.0,-0.385913021613,0.403171153382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0119848869785
